AI responses may be less accurate in languages other than English.,AI の応答は英語以外の言語では精度が低くなる場合があります。
Dismiss,閉じる
New Chat,新しいチャット
Settings,設定
Close,閉じる
Copy,コピー
Delete,削除
Chat,チャット
Save,保存
General,一般
Cancel,キャンセル
Agents,エージェント
Provider,プロバイダー
Model,モデル
Tools,ツール
Generate,生成
Result,結果
Content,コンテンツ
— Select —,— 選択 —
Terms of Use,
"Before using Jana, please review and accept the following terms:",
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.",
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.",
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.",
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,
I have read and agree to the Terms of Use,
View Full Terms of Use,
Accept and Continue,
You must accept the Terms of Use to continue.,
Jana responds in your language. Complex technical content may vary in quality across languages.,
Could not save acceptance. Please try again.,
